"Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"110001 ALTA FLORESTA D\'OESTE";"128,83";"135,63";"104,16";"100,19";"103,65";"96,93";"111,13";"148,94";"95,32";"103,08";"114,40";"98,97";"86,63";"61,31";"79,27";"62,04";"48,97";"82,70";"124,85";"99,72";"82,20";"68,12";"114,41";"69,75";"98,53"
"110002 ARIQUEMES";"157,25";"136,47";"120,71";"108,65";"109,91";"115,53";"133,50";"188,18";"127,24";"120,71";"111,53";"113,76";"107,65";"137,62";"138,64";"112,03";"104,25";"107,29";"100,24";"98,20";"82,25";"84,38";"112,61";"74,17";"116,90"
"110003 CABIXI";"71,11";"81,05";"63,16";"36,84";"63,92";"106,67";"115,24";"112,37";"105,65";"109,09";"90,91";"80,00";"65,45";"70,00";"107,81";"13,51";"29,33";"36,00";"32,88";"17,91";"56,72";"56,25";"94,20";"43,48";"72,36"
"110004 CACOAL";"105,38";"142,81";"136,07";"122,63";"123,19";"107,68";"114,39";"108,70";"105,60";"110,77";"103,64";"96,59";"93,32";"100,77";"115,74";"135,95";"114,15";"128,46";"125,34";"109,09";"87,47";"97,38";"124,68";"47,25";"112,48"
"110005 CEREJEIRAS";"72,98";"106,71";"114,98";"117,59";"111,99";"106,93";"119,69";"82,30";"102,67";"144,24";"88,94";"138,71";"124,42";"119,47";"96,73";"83,76";"57,43";"85,14";"71,48";"44,04";"84,12";"102,11";"110,78";"78,57";"98,12"
"110006 COLORADO DO OESTE";"123,90";"139,00";"99,70";"102,46";"67,94";"73,51";"77,54";"97,10";"89,73";"112,82";"65,93";"90,84";"54,58";"59,07";"87,85";"23,83";"20,15";"42,49";"25,11";"19,75";"50,21";"96,26";"171,92";"63,64";"79,94"
"110007 CORUMBIARA";"35,56";"47,98";"56,41";"50,26";"62,41";"62,14";"75,00";"77,27";"50,86";"59,02";"43,44";"77,87";"27,05";"24,49";"7,76";"6,90";"15,20";"104,00";"100,00";"50,57";"55,17";"63,78";"65,42";"48,72";"52,60"
"110008 COSTA MARQUES";"76,19";"92,49";"97,02";"120,28";"107,07";"104,96";"103,32";"100,34";"100,32";"126,19";"127,78";"95,63";"82,14";"101,56";"114,96";"103,42";"64,42";"65,17";"110,33";"131,48";"84,26";"68,67";"100,00";"10,94";"97,56"
"110009 ESPIGAO D\'OESTE";"96,55";"105,29";"98,73";"100,36";"99,83";"101,66";"154,18";"225,42";"97,97";"82,23";"79,96";"31,76";"82,61";"71,57";"98,53";"100,86";"103,43";"93,33";"89,30";"71,48";"83,49";"104,00";"63,91";"52,47";"92,75"
"110010 GUAJARA-MIRIM";"137,71";"138,67";"111,65";"111,60";"114,99";"121,54";"326,23";"97,03";"116,17";"108,41";"110,09";"135,76";"125,90";"106,80";"112,98";"120,69";"122,83";"80,87";"102,38";"85,39";"57,24";"75,16";"70,98";"7,91";"110,24"
"110011 JARU";"139,67";"128,16";"130,95";"117,50";"116,97";"124,65";"134,23";"219,72";"118,61";"112,37";"107,68";"95,52";"100,11";"116,20";"121,04";"120,90";"125,26";"136,79";"102,73";"109,22";"108,98";"70,60";"93,61";"63,52";"117,32"
"110012 JI-PARANA";"177,66";"154,04";"134,59";"128,52";"106,86";"107,04";"114,21";"89,01";"114,37";"147,10";"133,97";"129,84";"152,47";"117,89";"131,37";"134,70";"124,92";"106,13";"99,60";"96,29";"109,27";"91,11";"121,33";"68,49";"120,82"
"110013 MACHADINHO D\'OESTE";"77,03";"107,92";"84,86";"83,33";"92,64";"90,06";"95,55";"185,97";"106,21";"93,82";"86,67";"80,98";"89,11";"89,81";"87,82";"106,77";"59,76";"71,40";"122,61";"86,64";"107,13";"87,20";"77,36";"62,82";"92,25"
"110014 NOVA BRASILANDIA D\'OESTE";"135,95";"110,11";"102,11";"87,70";"92,24";"96,66";"109,41";"97,05";"109,66";"110,89";"131,13";"105,45";"100,00";"91,81";"90,04";"80,58";"102,76";"77,56";"89,13";"126,79";"70,54";"96,93";"131,30";"75,64";"101,65"
"110015 OURO PRETO DO OESTE";"120,64";"132,22";"112,89";"103,94";"161,18";"218,52";"386,78";"304,88";"111,79";"118,98";"115,51";"125,45";"118,98";"114,42";"106,65";"110,62";"104,01";"73,15";"81,79";"91,52";"64,01";"57,69";"71,17";"71,51";"117,58"
"110018 PIMENTA BUENO";"122,73";"148,46";"145,44";"128,87";"105,31";"115,68";"182,31";"109,78";"120,11";"126,09";"105,52";"101,17";"123,24";"173,56";"181,74";"168,67";"151,26";"110,39";"104,33";"88,94";"100,49";"97,89";"112,26";"81,68";"125,12"
"110020 PORTO VELHO";"110,72";"109,73";"99,15";"101,56";"108,37";"110,00";"102,89";"97,84";"106,39";"109,78";"111,11";"121,96";"123,57";"118,43";"107,89";"114,09";"107,92";"91,58";"79,48";"79,49";"69,67";"51,91";"76,31";"36,76";"99,15"
"110025 PRESIDENTE MEDICI";"97,52";"133,12";"99,58";"92,55";"106,02";"112,61";"158,52";"167,97";"113,08";"110,23";"70,83";"75,76";"42,42";"74,74";"97,94";"44,96";"102,42";"75,43";"103,99";"94,81";"82,35";"82,57";"115,44";"11,76";"97,79"
"110026 RIO CRESPO";"40,00";"172,34";"158,33";"61,22";"102,70";"72,00";"79,07";"103,12";"74,00";"78,72";"74,47";"38,30";"59,57";"60,00";"58,54";"110,53";"52,78";"105,56";"148,57";"97,96";"124,49";"90,00";"77,08";"75,00";"86,13"
"110028 ROLIM DE MOURA";"130,67";"173,29";"143,60";"104,28";"100,44";"129,76";"111,54";"104,06";"111,72";"98,52";"98,02";"119,04";"147,10";"152,58";"146,82";"154,84";"139,92";"124,92";"98,83";"56,49";"17,03";"74,22";"157,24";"68,75";"116,23"
"110029 SANTA LUZIA D\'OESTE";"79,44";"77,78";"77,67";"83,90";"89,24";"111,43";"92,73";"90,15";"94,78";"90,43";"93,04";"63,48";"40,00";"33,02";"16,10";"54,08";"31,07";"52,43";"71,93";"53,57";"43,75";"42,42";"66,67";"80,77";"70,34"
"110030 VILHENA";"136,46";"128,33";"136,13";"130,78";"121,65";"99,54";"107,76";"118,53";"98,42";"99,78";"88,00";"92,31";"116,52";"123,10";"150,99";"158,93";"162,83";"151,90";"137,70";"147,24";"66,76";"116,54";"172,12";"77,26";"123,72"
"110032 SAO MIGUEL DO GUAPORE";"85,23";"98,91";"65,36";"79,68";"115,03";"102,26";"133,15";"115,75";"92,27";"85,53";"99,21";"83,68";"67,11";"97,17";"107,67";"74,08";"108,82";"104,96";"124,04";"89,25";"66,40";"45,61";"83,20";"48,70";"90,21"
"110033 NOVA MAMORE";"46,86";"89,25";"98,32";"72,02";"106,28";"110,82";"96,44";"78,86";"109,06";"87,21";"93,47";"85,12";"86,95";"72,73";"102,09";"42,69";"44,94";"49,65";"70,07";"67,76";"58,52";"36,57";"75,89";"23,08";"74,82"
